SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'11010006,PRAWN WHITE  MEDIUM 60-65 PCS/KG.,กุ้งขาวกลาง 60-65 ตัว/กก.,KG,,, 215.00 ,,,,N,0,,,,,,,
11010019,กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),KG,,, 220.00 ,,,,N,0,,,,,,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,, 220.00 ,,,,N,0,,,,,,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,, 220.00 ,,,,N,0,,,,,,,
'11000010,เนื้อปลาสากแล่,เนื้อปลาสากแล่,KG,,, 235.00 ,,,,N,0,,,,,,,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,, 235.00 ,,,,N,0,,,,,,,
'11010014,PRAWN WHITE  MEDIUM 45-50 PCS,กุ้งขาวกลาง 45-50 ตัว/กก.,KG,,, 235.00 ,,,,N,0,,,,,,,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,, 255.00 ,,,,N,0,,,,,,,
'11000032,ปลากระพงขาวใหญ่แล่,ปลากระพงขาวใหญ่แล่,KG,,, 260.00 ,,,,N,0,,,,,,,
'11010015,PRAWN WHITE  PEELED 46-55 PCS,กุ้งขาวเด็ดหัวเว้นหางผ่าหลัง 46-55 ตัว/กก.,KG,,, 275.00 ,,,,N,0,,,,,,,
'11020007,SQUID MIDDLE 13-15 ตัว/กก.,หมึกกล้วยกลางไม่ลอก 13-15 ตัว/กก.,KG,,, 280.00 ,,,,N,0,,,,,,,
'11010017,กุ้งขาวเล็กแกะเปลือก,กุ้งขาวเล็กแกะเปลือก,KG,,, 285.00 ,,,,N,0,,,,,,,
'11020003,CUTTLE FISH,หมึกหอมกลาง,KG,,, 285.00 ,,,,N,0,,,,,,,
'11020001,CUTTLE FISH LARGE W 3-4 PCS/KG.,หมึกหอมใหญ่ลอก 3-4 ตัว/กก.,KG,,, 295.00 ,,,,N,0,,,,,,,
11020011,หมึกกล้วยใหญ่(ไม่ลอก) 10-12 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 10-12 ตัว/กก.,Kg,,, 310.00 ,,,,N,0,,,,,,,
11020010,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,Kg,,, 340.00 ,,,,N,0,,,,,,,
'11020006,SQUID LARGE 7-8 ตัว/กก.,หมึกกล้วยใหญ่ไม่ลอก 7-8 ตัว/กก.,KG,,, 340.00 ,,,,N,0,,,,,,,
'11010004,RIVER PRAWN 20-25 PCS/KG.,กุ้งแม่น้ำ 20-25 ตัว/กก.,KG,,, 350.00 ,,,,N,0,,,,,,,
17080035,ปลาแซลมอนนอร์เวย์แช่แข็ง 5-6กก./ตัว,ปลาแซลมอนนอร์เวย์แช่แข็ง 5-6กก./ตัว,KG,,, 360.00 ,,,,N,0,,,,,,,
'11020002,SQUID LOLIGO  M & S 3-5 ตัว/กก.,หมึกศอกไม่ลอก 3-5 ตัว/กก.,KG,,, 390.00 ,,,,N,0,,,,,,,
'11040002,GREEN SHELL MUSSEL NZ,หอยแมลงภู่นิวซีแลนด์,KG,,, 420.00 ,,,,N,0,,,,,,,
'11010012,ROCK LOBSTER 6-8 PCS,กั้งกระดาน 6-8 ตัว/กก.,KG,,, 485.00 ,,,,N,0,,,,,,,
'11000019,FRESH SALMON 4-5 KG,ปลาแซลมอนสด 4-5กก./ตัว,KG,,, 580.00 ,,,,N,0,,,,,,,
'11010001,PHUKET LOBSTER 400-700G.,กุ้งมังกร 400-700 กรัม,KG,,," 1,250.00 ",,,,N,0,,,,,,,
'11030003,CRAB MEAT AA,เนื้อปูเกรด AA,KG,,," 1,300.00 ",,,,N,0,,,,,,,
