SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,,240,,,,N,0,,,,,,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,245,,,,N,0,,,,,,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,,250,,,,N,0,,,,,,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,260,,,,N,0,,,,,,,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,,260,,,,N,0,,,,,,,
11010018,กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),KG,,,260,,,,N,0,,,,,,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,280,,,,N,0,,,,,,,
'11020007,SQUID MIDDLE 13-15 ตัว/กก.,หมึกกล้วยกลางไม่ลอก 13-15 ตัว/กก.,KG,,,280,,,,N,0,,,,,,,
11020011,หมึกกล้วยใหญ่(ไม่ลอก) 10-12 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 10-12 ตัว/กก.,Kg,,,290,,,,N,0,,,,,,,
'11020003,CUTTLE FISH,หมึกหอมกลาง,KG,,,290,,,,N,0,,,,,,,
11020010,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,หมึกกล้วยใหญ่(ไม่ลอก) 8-10 ตัว/กก.,Kg,,,300,,,,N,0,,,,,,,
'11020001,CUTTLE FISH LARGE W 3-4 PCS/KG.,หมึกหอมใหญ่ลอก 3-4 ตัว/กก.,KG,,,300,,,,N,0,,,,,,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,320,,,,N,0,,,,,,,
