SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'16010009,"TORTILLAS 8"" (1x10 PCS)/(110045)","แผ่นตอติญ่า 8"" (1x10 ชิ้น)/(110045)",PACK,,,98,,,,N,0,,,
'14010005,MAYONNAISE BESTFOOD 1KG.(1x9)/(184314),มายองเนสเบสฟู้ดส์ 1 กก.(1x9)/(184314),BAG,,,100,,,,N,0,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,102,,,,N,0,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,105,,,,N,0,,,
'10050047,PORK VIENNA SAUSAGE,ไส้กรอกเวียนนา,KG,,,105,,,,N,0,,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,90,,,,N,0,,,
'16010016,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,110,,,,N,0,,,
'16010014,SWEET CREAM BUN(20 PCS/PACK),ซาลาเปาไส้ครีม(1*20 PCS/PACK),PACK,,,110,,,,N,0,,,
'16000007,FROZEN CHICKEN POP 1KG.(853758),ไก่ป๊อปแช่แข็ง 1 กก.(853758),KG,,,110,,,,N,0,,,
'10010006,PORK LIVER,ตับหมู,KG,,,110,,,,N,0,,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,110,,,,N,0,,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,112,,,,N,0,,,
'16010024,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,115,,,,N,0,,,
'10050032,"CHICKEN SAUSAGE 3"" GF",ไส้กรอกไก่(จีเอฟ),KG,,,115,,,,N,0,,,
'10050053,แหนมไก่ ดอนเมืองย่าง เจพีเอ็ม850ก.(10ชิ้น)(149987),แหนมไก่ดอนเมืองย่าง(เจพีเอ็ม) 850ก.(1*10)/(149987),PACK,,,115,,,,N,0,,,
'10050009,FERMENTED GRILL CHICKEM JPM 850G.(149987),แหนมไก่ดอนเมืองเจพีเอ็ม 850ก.(149987),BAG,,,115,,,,N,0,,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,115,,,,N,0,,,
'16010031,SHUMAI PORK  (1*25)500G.,ขนมจีบหมู (1*25) 500ก.,Pack,,,120,,,,N,0,,,
'16010015,ขนมจีบไก่ (1*20),ขนมจีบไก่(1*20PACK),PACK,,,120,,,,N,0,,,
'10050038,FISH BALL - PFP 500G.,ลูกชิ้นปลายี่ห้อ PFP 500ก.,PACK,,,120,,,,N,0,,,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,125,,,,N,0,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,125,,,,N,0,,,
'10050054,ปลาเส้นทอดมหาชัย 700ก.(827687),ปลาเส้นทอดมหาชัย 70ก.(827687),BAG,,,125,,,,N,0,,,
'10020024,เล็บมือนาง(ตีนไก่),เล็บมือนาง(ตีนไก่),KG,,,125,,,,N,0,,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,128,,,,N,0,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,125,,,,N,0,,,
'10050045,PORK MEAT BALL,ลูกชิ้นหมูธรรมดา,KG,,,130,,,,N,0,,,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,135,,,,N,0,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,135,,,,N,0,,,
'10010015,HOG'S MAW,กระเพาะหมู,KG,,,135,,,,N,0,,,
'10050033,"CHICKEN SAUSAGE 3.5"" BATAGRO",ไส้กรอกไก่ 3.5นิ้ว(เบทาโกร),KG,,,138,,,,N,0,,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,138,,,,N,0,,,
'10050008,CHICKEN SAUSAGE OHO/KG,ไส้กรอกหนังกรอบไก่ทอง/กก.,KG,,,140,,,,N,0,,,
'16010008,SHRIMP SHAOMAI (1x40PCS.),ขนมจีบกุ้ง (1x40ชิ้น),PACK,,,165,,,,N,0,,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,145,,,,N,0,,,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,145,,,,N,0,,,
'10010027,สันคอหมู,สันคอหมู,Kg,,,155,,,,N,0,,,
'14030004,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีมมิลล์แลกโก 1 ลิตร,BOX,,,155,,,,N,0,,,
'10010022,ขั้วตับหมู,ขั้วตับหมู,KG,,,160,,,,N,0,,,
'10010020,ไส้อ่อนหมู,ไส้อ่อนหมู,KG,,,160,,,,N,0,,,
'16010010,VEGERTABLE SAMOZA (1x24 PCS),ซาโมซ่าผัก(1x24 ชิ้น),PACK,,,175,,,,N,0,,,
'17080004,เนื้อปลากะพงสไลซ์แช่แข็ง 10-15 ก. 1 กก.(821267),เนื้อปลากะพงสไลซ์แช่แข็ง10-15 ก. 1 กก.(821267),KG,,,175,,,,N,0,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,168,,,,N,0,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,168,,,,N,0,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,168,,,,N,0,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,168,,,,N,0,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,168,,,,N,0,,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,,180,,,,N,0,,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,195,,,,N,0,,,
