SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'11000033,ปลาตาเดียวไซส์ใหญ่ (2-3 กก./ตัว)/(38571),ปลาตาเดียวไซส์ใหญ่(2-3 กก./ตัว)/(38571),KG,,,175,,,,,,,,,,,,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,,178,,,,,,,,,,,,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,,178,,,,,,,,,,,,
'11040004,MUSSEL MEAT WITH STEAM,เนื้อหอยแมลงภู่ลวก,KG,,,190,,,,N,0,,,,,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,200,,,,,,,,,,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,200,,,,,,,,,,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,200,,,,,,,,,,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,200,,,,N,0,,,,,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,200,,,,N,0,,,,,,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,200,,,,N,0,,,,,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,200,,,,N,0,,,,,,,
'11000017,FISH EGG,ไข่ปลา,KG,,,200,,,,,,,,,,,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,,210,,,,N,0,,,,,,,
'11020007,SQUID MIDDLE 13-15 ตัว/กก.,หมึกกล้วยกลางไม่ลอก 13-15 ตัว/กก.,KG,,,210,,,,N,0,,,,,,,
'11040008,เนื้อหอยแครงลวก,เนื้อหอยแครงลวก,KG,,,215,,,,,,,,,,,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,,220,,,,N,0,,,,,,,
'11000008,SEA BASS CUT,ปลากระพงขาว(หั่นรวมหัว),KG,,,220,,,,N,0,,,,,,,
'11010016,PRAWN WHITE  SMALL,กุ้งขาวเล็ก,KG,,,225,,,,N,0,,,,,,,
'11010006,PRAWN WHITE  MEDIUM 60-65 PCS/KG.,กุ้งขาวกลาง 60-65 ตัว/กก.,KG,,,225,,,,N,0,,,,,,,
'11000010,เนื้อปลาสากแล่,เนื้อปลาสากแล่,KG,,,240,,,,,,,,,,,,
'11020006,SQUID LARGE 7-8 ตัว/กก.,หมึกกล้วยใหญ่ไม่ลอก 7-8 ตัว/กก.,KG,,,250,,,,N,0,,,,,,,
'11010014,PRAWN WHITE  MEDIUM 45-50 PCS,กุ้งขาวกลาง 45-50 ตัว/กก.,KG,,,250,,,,N,0,,,,,,,
'11000032,ปลากระพงขาวใหญ่แล่,ปลากระพงขาวใหญ่แล่,KG,,,260,,,,N,0,,,,,,,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,,266,,,,N,0,,,,,,,
11010019,กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),KG,0,0,266,,,,,,,,,,,,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,,276,,,,N,0,,,,,,,
11010018,กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),กุ้งขาวสด 30-35ตัว/กก.แกะไว้หาง(นน.ก่อนแกะ),KG,0,0,276,,,,,,,,,,,,
'11020002,SQUID LOLIGO  M & S 3-5 ตัว/กก.,หมึกศอกไม่ลอก 3-5 ตัว/กก.,KG,,,280,,,,N,0,,,,,,,
'11010017,กุ้งขาวเล็กแกะเปลือก,กุ้งขาวเล็กแกะเปลือก,KG,,,288,,,,N,0,,,,,,,
'11000004,GARUPA WHOLE SIZE 1KG.,ปลาเก๋าตัว 1 กก./ตัว,KG,,,300,,,,,,,,,,,,
'11020001,CUTTLE FISH LARGE W 3-4 PCS/KG.,หมึกหอมใหญ่ลอก 3-4 ตัว/กก.,KG,,,310,,,,N,0,,,,,,,
'11020003,CUTTLE FISH,หมึกหอมกลาง,KG,,,310,,,,N,0,,,,,,,
17080035,ปลาแซลมอนนอร์เวย์แช่แข็ง 5-6กก./ตัว,ปลาแซลมอนนอร์เวย์แช่แข็ง 5-6กก./ตัว,KG,0,0,360,,,,,,,,,,,,
'11040002,GREEN SHELL MUSSEL NZ,หอยแมลงภู่นิวซีแลนด์,KG,,,390,,,,,,,,,,,,
'11010015,PRAWN WHITE  PEELED 46-55 PCS,กุ้งขาวเด็ดหัวเว้นหางผ่าหลัง 46-55 ตัว/กก.,KG,,,430,,,,,,,,,,,,
'11010012,ROCK LOBSTER 6-8 PCS,กั้งกระดาน 6-8 ตัว/กก.,KG,,,460,,,,N,0,,,,,,,
'11010011,ROCK LOBSTER 4-5 PCS/KG.,กั้งหินใหญ่ 4-5 ตัว/กก.,KG,,,520,,,,N,0,,,,,,,
'11000019,FRESH SALMON 4-5 KG,ปลาแซลมอนสด 4-5กก./ตัว,KG,,,580,,,,,,,,,,,,
'11030003,CRAB MEAT AA,เนื้อปูเกรด AA,KG,,,660,,,,N,0,,,,,,,
'11010008,PHUKET LOBSTER 200-400 GR.,กุ้งมังกร 200-400 กรัม,KG,,,880,,,,,,,,,,,,
'11010001,PHUKET LOBSTER 400-700G.,กุ้งมังกร 400-700 กรัม,KG,,,1200,,,,N,0,,,,,,,
