รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ
'15090002,BROWN SUGAR NO LOGO 7G. (1x2000)/CASE,น้ำตาลทรายแดงซองไม่มีโลโก้ 7ก.(1x2000)/ลัง,CASE,,,1000,,,,V,7,,
31000015,WHITE SUGAR NO LOGO 7 G.(1x2000)/CASE,น้ำตาลทรายขาวซอง(ไม่มีโลโก้) 7ก.(1x2000)/ลัง,CASE,,,1040,,,,V,7,,
