รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ,หมายเหตุ
'13000032,JUICE PINEAPPLE MALEE 1L,น้ำผลไม้-สับปะรดมาลี 1 ลิตร,BTL,,,60,,,,A,7,,,
'26010006,JUICE CONCENTRATED-GRENADINE RED JUMBO A 730 ML.,น้ำหวานเข้มข้น-แกรนนาดีนสีแดงตราจัมโบ้เอ 730 มล.,BTL,,,60,,,,A,7,,,
'26010018,JUICE CRANBERRY LIGO 946ML.,น้ำผลไม้เเคนเบอร์รี่ ลิโก้ 946มล.,BTL,,,150,,,,A,7,,,
