StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1FD01,FD150796,CEREAL KOKO KRUNCH NESTLE 450/500G.(182016),ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 450/500ก.(182016),BOX,0.0000
1FD01,FD150797,COCONUT CREAM A-ROI-DEE 1000ML.(1x12)/(156265),น้ำกะทิ อร่อยดี 1000 มล.(1x12)/(156265),BOX,0.0000
1FD01,FD150798,NOODLE BIG RED LOTUS,ก๋วยเตี๋ยวเส้นใหญ่ตราดอกบัว,KG,0.0000
1FD01,FD150799,NOODLE CHAN,ก๋วยเตี๋ยวเส้นจันทร์(เส้นผัดไท)ตรากระต่าย,KG,0.0000
1FD01,FD150800,NOODLE SMALL YELLOW,บะหมี่เหลือง,KG,0.0000
1FD01,FD150801,RICE NOODLE,เส้นจันทร์กระต่าย,KG,0.0000
1FD01,FD150802,SAKU DRY SEED,สาคูเม็ดเล็กตรามังกร 7 ดาว(สีขาว),KG,0.0000
1FD01,FD150803,SAPAM NOODLE YELLOW,หมี่สะปำ,KG,0.0000
1FD01,FD150804,SAUSAGE CHINESE,กุนเชียงไก่ธรรมดา,KG,0.0000
1FD01,FD150805,SEEDS CUMIN  250 G. (175488),เมล็ดยี่หร่า 250 กรัม.(175488),G,0.0000
1FD01,FD150806,SOYBEAN SAUCE 800G.(1x3)/(147573),เต้าเจี้ยว เด็กสมบูรณ์ 800ก.(1x3)/(147573),G,0.0000
1FD01,FD150807,STICKY RICE WHITE,ข้าวเหนียวขาวดิบ,KG,0.0000
1FD01,FD150808,SWEET SOYA SAUCE  970CC.(1x3)/(840135),ซีอิ๊วหวาน เด็กสมบูรณ์ 970CC.(1x3)/(840135),ML,0.0000
1FD01,FD150809,TAMARIND SAUCE KAORR 1KG.(1x9)/(144146),ซอสมะขามเปียกเข้มข้น คนอร์ 1 กก.(1x9)/(144146),KG,0.0000
1FD01,FD150810,YELLOW TURMERIC POWDER EVEREST 500G.(102550),ผงขมิ้นเทศอินเดีย ยี่ห้อเอเวอร์เรสต์ 500G.(102550),G,0.0000
1FD01,FD150811,SEEDS PUMPKIN HERITAGE 454G.(184221),เมล็ดฟักทองอบเฮอริเทจ 454ก.(184221),G,0.0000
1FD01,FD150812,FLOUR GRAM BESAN 500G.(109277),แป้งถั่วลูกไก่ เบซัน 500ก.(109277),G,0.0000
1FD01,FD150813,BRAND GROUND GARLIC No.1 HAND 200G.(106723),กระเทียมป่น ตรามือ 1200ก.(106723),KG,0.0000
1FD01,FD150814,PICKLED,ผักกาดดอง,KG,0.0000
1FD01,FD150815,BALE FRUIT DRY,มะตูมแห้ง,KG,0.0000
1FD01,FD150816,DRY MANGO,มะม่วงอบแห้ง,KG,0.0000
1FD01,FD150817,DRY PINEAPPLE,สัปปะรดอบแห้ง,KG,0.0000
1FD01,FD150818,BLACK PEPPER 1 kg.,พริกไทยเม็ดดำ1 กก.,KG,0.0000
1FD01,FD150819,CINAMON STICK(MAI HOOM),อบเชย(ไม้หอม),KG,0.0000
1FD01,FD150820,FRIED GARLIC 0.5KG,กระเทียมเจียว 0.5 กก.,G,0.0000
1FD01,FD150821,SESAMI BLACK SEED RAITIP,เม็ดงาดำไร่ทิพย์,KG,0.0000
1FD01,FD150822,SESAMI WHITE SEED RAITIP,เม็ดงาขาวไร่ทิพย์,KG,0.0000
1FD01,FD150823,RED BEAN  BIG,ถั่วแดงหลวง,KG,0.0000
1FD01,FD150824,DRY SEA WEED (1PACK/50G.),สาหร่ายแบบกลมสำหรับแกงจืด(1 แพ็คเท่ากับ 50ก.),PACK,0.0000
1FD01,FD150825,ปลากรอบฉิ้งฉ้างปรุงรส,ปลากรอบฉิ้งฉ้างปรุงรส,KG,0.0000
1FD01,FD150826,CANNED FISH IN TOMATO SAUCE,ปลากระป๋องในซอสมะเขือเทศ,CAN,0.0000
1FD01,FD150827,ADLAY SEED 1KG.,เมล็ดเดือย 1 กก.,KG,0.0000
1FD01,FD150828,PHUKET NOODLE,หมี่ซั่วภูเก็ต,PACK,0.0000
1FD01,FD150829,LEMON POWDER 400G.(201908),ผงมะนาว คนอร์ 400ก.(201908),G,0.0000
1FD01,FD150830,ผงชูรสฮ่องกง 2.25 กก.Vetsin,ผงชูรสฮ่องกง 2.25กก.Vetsin,KG,0.0000
1FD01,FD150831,DEGGI MIRCH  MDH 100G.(102558),พริกบดอินเดีย เอ็มดีเอช 100ก.(102558),G,0.0000
1FD01,FD150832,CHILLI SAUCE HEINZ 5KG.(210724),ซอสพริก ไฮน์ 5กก.(210724),KG,0.0000
1FD01,FD150833,OYSTER SAUCE KNORR 5KG.(103421),ซอสหอยนางรม คนอร์ 5 กก.(103421),KG,0.0000
1FD01,FD150834,BLACK SOYA SAUCE NO.5 940CC.(1x3)/(147395),ซีอิ๋วดำ#5เด็กสมบูรณ์ 940มล.(1x3)/(147395),ML,0.0000
1FD01,FD150835,TOMATO SAUCE HEINZ  5KG.(109777),ซอสมะเขือเทศ ไฮน์  5 กก.(109777),KG,0.0000
1FD01,FD150836,น้ำจิ้มบ๊วยเจี่ยตราบ๊วยกอ 700 ML,น้ำจิ้มบ๊วยเจี่ย ตราบ๊วยกอ 700 ML,ML,0.0000
1FD01,FD150837,CHILLI SAUCE SRIRACHA 900G.(237969),ซอสพริก ศรีราชา 900ก.(237969),G,0.0000
1FD01,FD150838,TOMATO PASTE MICA   3.2KG. (140418),ซอสมะเขือเทศเข้มข้น ไมก้า 3.2กก.(140418),KG,0.0000
1FD01,FD150839,TUNA STEAK IN OIL NAUTILUS 170G.,เนื้อทูน่าสเต็กในน้ำมันถั่วเหลืองนอติลุส 170ก.,CAN,0.0000
1FD01,FD150840,ANCHOVIES IN OIL  720G.,ปลาร้ากระป๋อง720ก.,G,0.0000
1FD01,FD150841,VINEGAR WHITE DISTILLED 5L.(117817),น้ำส้มสายชูภูเขาทอง 5 ลิตร(117817),LTR,0.0000
1FD01,FD150842,GOLDEN LABEL DISTILLED VINEGAR 5% 4500ML.,น้ำส้มสายชู ฉลากทอง 4500มล.,LTR,0.0000
1FD01,FD150843,SUGAR WHITE  1KG.,น้ำตาลทรายขาว 1 กก.,KG,0.0000
1FD01,FD150844,CURRY PEWDER  200 G.(184165),ผงกะหรี่ปืนไขว้ 200ก.(184165),G,0.0000
1FD01,FD150845,BREAD CRUMB PANKO LOBO 1KG.(191684),เกร็ดขนมปังโลโบ 1กก.(191684),KG,0.0000
1FD01,FD150846,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,PCS,0.0000
1FD01,FD150847,COFFEE ALL DAY BLEND STRIKE/ABF,COFFEE ALL DAY BLEND STRIKE/ABF,KG,0.0000
1FD01,FD150848,BATTER MIX KNORR 500G.(121579),แป้งทอดกรอบ คนอร์ 500ก.(121579),G,0.0000
1FD01,FD150849,CUMIN POWDER 500G./BAG,ผงยี่หร่า 500ก./ถุง,G,0.0000
1FD01,FD150850,GREEN MUSTARD PICKLE PIGEON 140G.(1x6)/(67886),ผักกาดดองนกพิราบคู่ 140ก.(1x6)/(67886),CAN,0.0000
1FD01,FD150851,MIXED PICKLE 1KG.,MIXED PICKLE 1KG.,KG,0.0000
1FD01,FD150852,ACHAR (MIX PICKLE) 1KG./BOX (839527),ACHAR (MIX PICKLE) 1KG./BOX(839527),KG,0.0000
1FD01,FD150853,AJWAIN SEEDS 500G.(102339),AJWAIN SEEDS 500G.(102339),G,0.0000
1FD01,FD150854,ALMOND POWDER ARO 500G.(819965),อัลมอนด์ผงเอโร่ 500 กรัม(819965),G,0.0000
1FD01,FD150855,ALMOND SLICE ARO 1KG. (818275),อัลมอนด์สไลซ์เอโร่ 1 กก.(818275),KG,0.0000
1FD01,FD150856,AMCHUR POWDER MDH 100G.,AMCHUR POWDER MDH 100G.,G,0.0000
1FD01,FD150857,BAKED TARK SHELL YA02 6.3CM. 17.5G.(1x240 PCS),ถ้วยทาร์ต-แบบกลมใหญ่ 6.3 ซม./17.5ก.(1x240),PCS,0.0000
1FD01,FD150858,BAKED TARK SHELL YA03 6.5CM. 13G.(1x360 PCS),ถ้วยทาร์ต-แบบสามเหลี่ยม 6.5 ซม./13ก.(1x360),PCS,0.0000
1FD01,FD150859,BAKED TARK SHELL YA04 4.5CM 12G.(1x600 PCS),ถ้วยทาร์ต-แบบสามเหลี่ยม 4.5 ซม./12ก.(1x600),PCS,0.0000
1FD01,FD150860,BAKED TARK SHELL YA05 3.6 CM 6G. (1x660 PCS),ถ้วยทาร์ต-แบบกลมเล็ก 3.6 ซม./6ก.(1x660),PCS,0.0000
1FD01,FD150861,BAKING POWDER BEST FOOD 1KG.(204345),ผงฟู เบสท์ฟูดส์ 1 กก.(204345),KG,0.0000
1FD01,FD150862,BARRY COCOA POWDER EXTRA BRUTE 1KG.,BARRY COCOA POWDER EXTRA BRUTE 1KG.,KG,0.0000
1FD01,FD150863,BAY LEAVES  HAND BRAND No.1 (50G.)/(106729),ใบเบย์ ตรามือที่ 1 (50ก.)/(106729),G,0.0000
1FD01,FD150864,BEAN CURD DRIED(1*10),ฟองเต้าหู้แผ่น(1*10),PCS,0.0000
1FD01,FD150865,BLACK DAL ALPINE 500G.(106371),ถั่วดำอินเดียอัลไพน์ 500ก.(106371),G,0.0000
1FD01,FD150866,BLACK SOYA SAUCE 700CC.(1x3)/(394251),ซีอิ๊วหวานง่วนเชียง 700ซีซี.(1x3)/(394251),ML,0.0000
1FD01,FD150867,FLOUR BREAD 22.5 KG.(184696),แป้งทำขนมปัง หงษ์ขาว 22.5กก.(184696),KG,0.0000
1FD01,FD150868,BREAD PROVER KS505 IMPERIAL 1KG.,สารเสริม KS505 อิมพีเรียล 1 กก.,KG,0.0000
1FD01,FD150869,BROAD BEAN SALTED TONG GARDEN 500G.(120516),ถั่วปากอ้าอบเกลือทองการ์เด้น 500ก.(120516),G,0.0000
1FD01,FD150870,CAKE RASPBERRY ELLSE 15G.(1x24)/(161410),ขนมเค้กกลิ่นราสเบอรี่ เอลเซ่ 15ก.(1x24)/(161410),PCS,0.0000
