SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,235,,,,A,7,,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,248,,,,N,0,,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,255,,,,N,0,,,
'10000005,เนื้อน่องลาย,เนื้อน่องลาย,KG,,,285,,,,N,0,,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,290,,,,N,0,,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,319,,,,N,0,,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,319,,,,N,0,,,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,320,,,,N,0,,,
'15010057,WHOLE PEELED TOMATO SIS 2.8KG.(140649),มะเขือเทศปอกผิวตราซีส 2.8 กก.(140649),CAN,,,370,,,,A,7,,,
'11040002,GREEN SHELL MUSSEL NZ,หอยแมลงภู่นิวซีแลนด์,KG,,,390,,,,N,0,,,
'14010002,BUTTER SALT ALLOWRIE 8G.(1x100),เนยเค็มตลับอลาวรี่ 8ก.(1x100),BOX,,,420,,,,A,7,,,
'14010003,BUTTER UN-SALT ALLOWRIE 8G.(1x100),เนยจืดตลับอลาวรี่ 8ก.(1x100),BOX,,,420,,,,A,7,,,
'14020021,EMMENTAL VALMARTIM 3KG.(44ENT),EMMENTAL VALMARTIM 3KG.(44ENT),KG,,,490,,,,A,7,,,
'14020022,CHEESE GOUDA WHEEL 4-5 KG.(9040801),CHEESE GOUDA WHEEL 4-5 KG.(9040801),KG,,,525,,,,A,7,,,
'10040003,LAMP SHOULDER BONELESS NZ,ไหล่แกะไม่ติดกระดูกนิวซีแลนด์,KG,,,530,,,,N,0,,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,639,,,,N,0,,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,750,,,,A,7,,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,770,,,,N,0,,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,890,,,,N,0,,,
'16000005,HASH BROWNS FARM FRITES 10KG.(800084),มันฝรั่งแฮชบราวน์ ยี่ห้อฟาร์มฟริตซ์ 10กก.(800084),CASE,,,1875,,,,A,7,,,
'16000001,FARM FRIES SKIN ON WEDGE 12KG.,มันฝรั่งเสี้ยวพระจันทร์ไม่ปรุงรส 12 กก./ลัง,CASE,,,1900,,,,A,7,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
