SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10000001,BEEF BONE CUT,กระดูกวัวตัด,KG,,,0,,,,N,0,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,20,,,,N,0,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,0,,,,N,0,,
'10000004,GRASS FED AUS. FRPZEN BEEF MINCE 3 KG.,เนื้อบดออสเตรเลีย 3 กก.,KG,,,20,,,,N,0,,
'10000005,เนื้อน่องลาย,เนื้อน่องลาย,KG,,,0,,,,N,0,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,20,,,,N,0,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,0,,,,N,0,,
31000017,,,,,,50,,,,N,0,,
'10000008,BEEF BONE LOCAL,กระดูกวัว,KG,,,,,,,N,0,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,,,,,N,0,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,,,,,N,0,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,,,,,N,0,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,,,,,N,0,,
'10010003,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,,,,,N,0,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,,,,,N,0,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,,,,,N,0,,
'10010006,PORK LIVER,ตับหมู,KG,,,,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,,,,,N,0,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,,,,,N,0,,
'10010009,PORK NECK,คอหมู,KG,,,,,,,N,0,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,,,,,N,0,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,,,,,N,0,,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,,,,,N,0,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,,,,,N,0,,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,,,,,N,0,,
'10010015,HOG'S MAW,กระเพาะหมู,KG,,,,,,,N,0,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,,,,,N,0,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,,,,,N,0,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,,,,,N,0,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,,,,,N,0,,
'10010020,ไส้อ่อนหมู,ไส้อ่อนหมู,KG,,,,,,,N,0,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,,,,,N,0,,
'10010022,ขั้วตับหมู,ขั้วตับหมู,KG,,,,,,,N,0,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,,,,,N,0,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,,,,,N,0,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,,,,,N,0,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,,,,,N,0,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,,,,,N,0,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,,,,,N,0,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,,,,,N,0,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,,,,,N,0,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,,,,,N,0,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,,,,,N,0,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,,,,,N,0,,
'10020014,ไก่ตอน,ไก่ตอน,KG,,,,,,,N,0,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,,,,,N,0,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,,,,,N,0,,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,,,,,N,0,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,,,,,N,0,,
'10020021,CHICKEN BREAST WITH WING,อกไก่ติดปีก,KG,,,,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,,,,,N,0,,
'10020024,เล็บมือนาง(ตีนไก่),เล็บมือนาง(ตีนไก่),KG,,,,,,,N,0,,
'10020025,ข้อไก่,ข้อไก่,KG,,,,,,,N,0,,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,,,,,N,0,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,,,,,N,0,,
'10040001,LAMB CHOP 8 RIB AUS,ซี่โครงแกะ 8 ซี่ แบบแต่งปลายออสเตรเลีย,KG,,,,,,,N,0,,
'10040002,LAMB LEG BONELESS ( AUS ),ขาแกะไม่มีกระดูกออสเตรเลีย,KG,,,,,,,N,0,,
'10040003,LAMP SHOULDER BONELESS NZ,ไหล่แกะไม่ติดกระดูกนิวซีแลนด์,KG,,,,,,,N,0,,
'10050001,BACON SMOKED US (0.25-0.3 MM) 27-30 PCS/KG 5KG.,BACON SMOKED US (0.25-0.3 MM) 27-30 PCS/KG 5KG.,CASE,,,,,,,N,0,,
'10050002,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,CASE,,,,,,,N,0,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,,,,,N,0,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,,,,,N,0,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,,,,,N,0,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,,,,,N,0,,
'10050007,"CHICKEN SAUSAGE FRESH 3.5"" 1KG.",ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.,KG,,,,,,,N,0,,
'10050008,CHICKEN SAUSAGE OHO/KG,ไส้กรอกหนังกรอบไก่ทอง/กก.,KG,,,,,,,N,0,,
'10050009,FERMENTED GRILL CHICKEM JPM 850G.(149987),แหนมไก่ดอนเมืองเจพีเอ็ม 850ก.(149987),BAG,,,,,,,N,0,,
'10050010,FISH BALL ARO 800G.(100920),ลูกชิ้นปลากลมขนาดใหญ่เอโร่ 800ก.(100920),BAG,,,,,,,N,0,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,,,,,N,0,,
'10050012,"PORK FRESH SAUSAGE 4""","ไส้กรอกหมูสด 4""",KG,,,,,,,N,0,,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,,,,,N,0,,
'10050014,N.BACON 5 KG.,เบคอนสด(เอ็น) 5 กก.,KG,,,,,,,N,0,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,,,,,N,0,,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,,,,,N,0,,
'10050017,ROUND YAOWARAT FISH BALLS AFM 1KG.(894015),ลูกชิ้นปลาเยาวราชกลมเอเอฟเอ็ม 1 กก.(894015),KG,,,,,,,N,0,,
'10050018,SMOKED BACON LOUISIANA 12KG.,เบคอนรมควันสไลด์หลุยเซียน่า 12 กก./ลัง,CASE,,,,,,,N,0,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,,,,,N,0,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,,,,,N,0,,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,,,,,N,0,,
'10050022,HAM(PORK),หมูแฮม,KG,,,,,,,N,0,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,,,,,N,0,,
'10050024,BACON SMOKED FLORIDA KING 1KG.,เบคอนรมควันตราฟลอริด้า 1 กก.,KG,,,,,,,N,0,,
'10050025,BACON SMOKED SLIED AA B&B 1KG.,เบคอนสไลด์ เอเอบีแอนบี 1 กก.,KG,,,,,,,N,0,,
