Vendor A003               Name  คุณอนันต์ผักสดฟาร์ม บจก.,,,Date From,,01/10/2023,Date To,15/10/2023      Reference #,
SKU #       Description                                            Unit,,,Rank,,Qty From,To,Price    Currency        Market Price Foc Co,
12010052,MUSHROOM OYSTER : เห็ดนางฟ้า        KG,,,1,0.00,0.00,80.00 THB,0.00 0.00
12010053,MUSHROOM SHIMEJI BLACK : เห็ดชิเม PACK,,,1,0.00,0.00,15.00 THB,0.00 0.00
12010054,MUSHROOM SHIMEJI WHITE : เห็ดชิเม  PACK,,,1,0.00,0.00,15.00 THB,0.00 0.00
12010055,MUSHROOM STRAW (324038) : เห็ดฟา  KG,,,1,0.00,0.00,150.00 THB,0.00 0.00
12010056,MUSHROOM WHITE : เห็ดหูหนูขาว         KG,,,1,0.00,0.00,350.00 THB,0.00 0.00
12010057,ONION LARGE : หอมใหญ่                     KG,,,1,0.00,0.00,28.00 THB,0.00 0.00
12010058,ONION SPRING : ตน้ หอม                      KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010059,PAK MEANG : ผักเหมียง                         KG,,,1,0.00,0.00,110.00 THB,0.00 0.00
12010060,POTATO LARGE : มันฝรั งใหญ่                KG,,,1,0.00,0.00,33.00 THB,0.00 0.00
12010061,POTATO SWEET : มันเทศ                      KG,,,1,0.00,0.00,30.00 THB,0.00 0.00
12010062,PUMPKIN LARGE : ฟักทองใหญ่             KG,,,1,0.00,0.00,22.00 THB,0.00 0.00
12010063,RA LEAF : ใบรา                                    KG,,,1,0.00,0.00,65.00 THB,0.00 0.00
12010064,RADICHIO : เรดิชิโอ ้                              KG,,,1,0.00,0.00,145.00 THB,0.00 0.00
12010065,RED CORAL : เรดโครอล                        KG,,,1,0.00,0.00,130.00 THB,0.00 0.00
12010066,RED OAK 0.5 KG. : เรดโอ๊ด 0.5 กก.          KG,,,1,0.00,0.00,110.00 THB,0.00 0.00
12010067,RHY ZOME : กระชาย                             KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010068,ROMAIN COS CHINESE : โรแมนคอส      KG,,,1,0.00,0.00,65.00 THB,0.00 0.00
12010069,SMALL LOTUS LEAF : ใบบัวบก              KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010070,STRING BEANS : ถั วฝักยาว                    KG,,,1,0.00,0.00,45.00 THB,0.00 0.00
12010071,SWEET BASIL : โหระพา                        KG,,,1,0.00,0.00,40.00 THB,0.00 0.00
12010075,THAI PARSLEY : ผักชีไทย                      KG,,,1,0.00,0.00,130.00 THB,0.00 0.00
12010076,TOMATO QUEEN : มะเขือเทศราชินี          KG,,,1,0.00,0.00,70.00 THB,0.00 0.00
12010078,TOMATO SEDA : มะเขือเทศสีดา              KG,,,1,0.00,0.00,50.00 THB,0.00 0.00
12010079,TURNIP DRIED FLAKE : ไชโป๊ วสับ         KG,,,1,0.00,0.00,55.00 THB,0.00 0.00
12010080,TURNIP FLAKE : ไชโป๊ วหวานฝอย           KG,,,1,0.00,0.00,55.00 THB,0.00 0.00
12010081,TURNIP WHITE : หัวไชเทา้                      KG,,,1,0.00,0.00,25.00 THB,0.00 0.00
12010082,WHITE LETTUCE : กาดขาว                    KG,,,1,0.00,0.00,27.00 THB,0.00 0.00
12010083,YOD MUI : ยอดหมุย                               KG,,,1,0.00,0.00,12.00 THB,0.00 0.00
12010084,YOD MUN POO : ยอดมันปู                     BUNDLE,,,1,0.00,0.00,12.00 THB,0.00 0.00
12010085,ZUCHINI : ซูกินีเขียว                              KG,,,1,0.00,0.00,65.00 THB,0.00 0.00
12010086,กระเทียมไทยกลีบ : กระเทียมไทยกลีบ         KG,,,1,0.00,0.00,85.00 THB,0.00 0.00
12010088,คะนา้ ฮ่องกง : คะนา้ ฮ่องกง                        KG,,,1,0.00,0.00,100.00 THB,0.00 0.00
12010090,SHALLOT : หอมแดงไทย                        KG,,,1,0.00,0.00,120.00 THB,0.00 0.00
12010091,ASPARAGUS GREEN 1KG. : หน่อไมฝ้  รั ง KG,,,1,0.00,0.00,170.00 THB,0.00 0.00
12010092,BROCCOLI : บล็อคโคลี                           KG,,,1,0.00,0.00,50.00 THB,0.00 0.00
12010093,CAULIFIOWER EXPORT : ดอกกะหล ํานอ KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010097,FRILLICE ICEBERG : ฟิลเลย์ไอซ์เบิร์ก     KG,,,1,0.00,0.00,115.00 THB,0.00 0.00
12010098,GARLIC LARGE & TO LEVER OUT : กร  KG,,,1,0.00,0.00,70.00 THB,0.00 0.00
12010101,PALM HEAD : ยอดมะพรา้ ว(หัว)                  KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
