SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'17070004,FROZEN SWEET CORN KERNEL ARO 1KG.(851335),ข้าวโพดแช่แข็ง เอโร่ 1 กก.(851335),KG,,,90,,,,N,0,,,,,,,
'17060007,ข้าวโพดแช่แข็ง เอโร่ 10 กก.(851336),ข้าวโพดแช่แข็ง เอโร่ 10 กก.(851336),CASE,,,850,,,,N,0,,,,,,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,74,,,,N,0,,,,,,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,88,,,,N,0,,,,,,,
10010028,ขาหมู-ขาหลังสด(สับชิ้น),ขาหมู-ขาหลังสด(สับชิ้น),Kg,0,0,85,THB,0,0,N,0,,,,,,,
'10010009,PORK NECK,คอหมู,KG,,,265,,,,N,0,,,,,,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,70,,,,N,0,,,,,,,
'14020018,CHEESE DUTCH EMMENTHAL (55E01),ชีสแท่ง DUTCH EMMENTHAL(55E01),KG,,,255,,,,N,0,,,,,,,
'14020008,CHEESE CHEDDAR 84 SLICE(ANCHOR)(1 PACK=1.04KG),เชดด้าชีส 84 สไลด์ ANCHOR(1PACK=1.04KG),PACK,,,340,,,,N,0,,,,,,,
'14020012,CHEESE CHEDDAR 84 SLICE WHITE(1KG/PACK ),เชดด้าชีส 84 สไลด์สีขาว(แพ็คละ 1 กก.),PACK,,,340,,,,N,0,,,,,,,
'16010017,BUN WITH TARO PASTE (1x20P),ซาลาเปาเผือก (1x20ชิ้น),PACK,,,220,,,,N,0,,,,,,,
'16010014,SWEET CREAM BUN(20 PCS/PACK),ซาลาเปาไส้ครีม(1*20 PCS/PACK),PACK,,,110,,,,N,0,,,,,,,
'16010016,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,110,,,,N,0,,,,,,,
'16010024,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,120,,,,N,0,,,,,,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,30,,,,N,0,,,,,,,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,150,,,,N,0,,,,,,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,150,,,,N,0,,,,,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,130,,,,N,0,,,,,,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,150,,,,N,0,,,,,,,
'10010006,PORK LIVER,ตับหมู,KG,,,100,,,,N,0,,,,,,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,85,,,,N,0,,,,,,,
'17060002,FROZEN GREEN PEAS 1KG.(134972),ถั่วลันเตาแช่แข็ง 1 กก.(134972),KG,,,85,,,,N,0,,,,,,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,78,,,,N,0,,,,,,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,78,,,,N,0,,,,,,,
'16000006,FISH NUGGET (1x24 PCS),นักเกตปลา(1x24 ชิ้น),BAG,,,320,,,,N,0,,,,,,,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,125,,,,N,0,,,,,,,
'13000028,JUICE  FRESH MANGO 5L.,น้ำผลไม้สด-มะม่วง 5 ลิตร,GAL,,,160,,,,N,0,,,,,,,
