SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,275,,,,N,0,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,590,,,,N,0,,,
'10040001,LAMB CHOP 8 RIB AUS,ซี่โครงแกะ 8 ซี่ แบบแต่งปลายออสเตรเลีย,KG,,,1100,,,,N,0,,,
'10050001,BACON SMOKED US (0.25-0.3 MM) 27-30 PCS/KG 5KG.,BACON SMOKED US (0.25-0.3 MM) 27-30 PCS/KG 5KG.,CASE,,,1450,,,,N,0,,,
'10050002,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,BACON SMOKED US (2.0-2.5 MM/S) 35-43 PCS/KG 5KG.,CASE,,,1450,,,,N,0,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,70,,,,N,0,,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,225,,,,N,0,,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,200,,,,N,0,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,80,,,,N,0,,,
'10050008,CHICKEN SAUSAGE OHO/KG,ไส้กรอกหนังกรอบไก่ทอง/กก.,KG,,,125,,,,N,0,,,
'10050009,FERMENTED GRILL CHICKEM JPM 850G.(149987),แหนมไก่ดอนเมืองเจพีเอ็ม 850ก.(149987),BAG,,,115,,,,N,0,,,
'10050010,FISH BALL ARO 800G.(100920),ลูกชิ้นปลากลมขนาดใหญ่เอโร่ 800ก.(100920),BAG,,,85,,,,N,0,,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,120,,,,N,0,,,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,88,,,,N,0,,,
'10050014,N.BACON 5 KG.,เบคอนสด(เอ็น) 5 กก.,KG,,,190,,,,N,0,,,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,200,,,,N,0,,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,200,,,,N,0,,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,200,,,,N,0,,,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,200,,,,N,0,,,
'10050022,HAM(PORK),หมูแฮม,KG,,,265,,,,N,0,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,95,,,,N,0,,,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,,300,,,,N,0,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,80,,,,N,0,,,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,140,,,,N,0,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,88,,,,N,0,,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,100,,,,N,0,,,
'10050032,"CHICKEN SAUSAGE 3"" GF",ไส้กรอกไก่(จีเอฟ),KG,,,105,,,,N,0,,,
'10050033,"CHICKEN SAUSAGE 3.5"" BATAGRO",ไส้กรอกไก่ 3.5นิ้ว(เบทาโกร),KG,,,135,,,,N,0,,,
'10050037,FISH BALL - LAMTONG,ลูกชิ้นปลากล้วยญี่ปุ่น,KG,,,300,,,,N,0,,,
'10050038,FISH BALL - PFP 500G.,ลูกชิ้นปลายี่ห้อ PFP 500ก.,PACK,,,95,,,,N,0,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,80,,,,N,0,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,80,,,,N,0,,,
'10050045,PORK MEAT BALL,ลูกชิ้นหมูธรรมดา,KG,,,135,,,,N,0,,,
'10050046,PORK MEAT BALLS(HAMPRANG),ลูกชิ้นหมูฮัมเพล้ง,KG,,,225,,,,N,0,,,
'10050047,PORK VIENNA SAUSAGE,ไส้กรอกเวียนนา,KG,,,120,,,,N,0,,,
'10050049,RUGBY YAOWARAT FISH BALLS AFM 1 KG. (894013),ลูกชิ้นปลารักบี้เยาวราช เอเอฟเอ็ม 1 กก.(894013),KG,,,100,,,,N,0,,,
'10050054,ปลาเส้นทอดมหาชัย 700ก.(827687),ปลาเส้นทอดมหาชัย 70ก.(827687),BAG,,,110,,,,N,0,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,130,,,,N,0,,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,95,,,,N,0,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,100,,,,N,0,,,
'11000021,MANGROVE SNAPPER FILLET,เนื้อปลากระพงแสม,KG,,,185,,,,N,0,,,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,,330,,,,N,0,,,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,,290,,,,N,0,,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,,75,,,,N,0,,,
'11030003,CRAB MEAT AA,เนื้อปูเกรด AA,KG,,,1600,,,,N,0,,,
'16000003,HASH BROWN SUNNY DAY GOLD 450G.(1x12),มันฝรั่งฮัทบราวร์ ซันนี่เดย์โกลล์ 450ก.(1x12),CASE,,,1056,,,,N,0,,,
'16000007,FROZEN CHICKEN POP 1KG.(853758),ไก่ป๊อปแช่แข็ง 1 กก.(853758),KG,,,100,,,,N,0,,,
'16010004,GOLDEN BAG SHRIMP ARO(1x48)/(179427),ถุงทองไส้กุ้งแช่แข็ง เอโร่ (1x48)/(179427),PACK,,,390,,,,N,0,,,
'16010005,HA KAO SHRIMP(1x40),ฮะเก๋ากุ้ง(1x40),PACK,,,320,,,,N,0,,,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,210,,,,N,0,,,
'16010008,SHRIMP SHAOMAI (1x40PCS.),ขนมจีบกุ้ง (1x40ชิ้น),PACK,,,130,,,,N,0,,,
'16010009,"TORTILLAS 8"" (1x10 PCS)/(110045)","แผ่นตอติญ่า 8"" (1x10 ชิ้น)/(110045)",PACK,,,95,,,,N,0,,,
'16010014,SWEET CREAM BUN(20 PCS/PACK),ซาลาเปาไส้ครีม(1*20 PCS/PACK),PACK,,,100,,,,N,0,,,
'16010015,ขนมจีบไก่ (1*20),ขนมจีบไก่(1*20PACK),PACK,,,120,,,,N,0,,,
'16010016,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,100,,,,N,0,,,
'16010017,BUN WITH TARO PASTE (1x20P),ซาลาเปาเผือก (1x20ชิ้น),PACK,,,220,,,,N,0,,,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,120,,,,N,0,,,
'16010021,"FROZEN ROLL PASTRY SPRING HOME 7.5"" (1x50)/(128549)","แผ่นปอเปี๊ยะแช่แข็ง สปริงโฮม 7.5""(1x50)/(128549)",BAG,,,90,,,,N,0,,,
'16010022,FROZEN ROTI SHEET ARO 1.6KG.(1x20)/(137426),แผ่นแป้งโรตีแช่แข็ง เอโร่ 1.6กก.(1x20)/(137426),PACK,,,250,,,,N,0,,,
'16010024,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,100,,,,N,0,,,
'16010029,VHINESE STEAMED DOUGHT (1x12/PACK),ซาลาเปาหมั่นโถว (1x12/PACK),PACK,,,80,,,,N,0,,,
'16010031,SHUMAI PORK  (1*25)500G.,ขนมจีบหมู (1*25) 500ก.,Pack,,,135,,,,N,0,,,
'16010032,SHUMAI SEAWEED PORK (1*25)500G.,ขนมจีบสาหร่ายหมู(1*25)500ก.,Pack,,,95,,,,N,0,,,
'16010033,SHUMAI CHICKEN HALAL (1*25)500G.,ขนมจีบไก่ฮาลาล(1*25)500ก.,Pack,,,120,,,,N,0,,,
'16010034,BUN PORK RED SMALL(1*12)400G.,ซาลาเปาไส้หมูแดง ลูกเล็ก(1*12)400ก.,Pack,,,100,,,,N,0,,,
'16010035,BUN PORK SMALL(1*12) 400G.,ซาลาเปาไส้หมูสับ-ลูกเล็ก (1*12)400ก.,Pack,,,100,,,,N,0,,,
'16010036,BUN CHICKEN HALAL SMALL(1*12)400G.,ซาลาเปาไส้ไก่ฮาลาล-ลูกเล็ก (1*12)400ก.,Pack,,,100,,,,N,0,,,
'16010037,BUN BLACK HALAL SMALL(1*12)400G.,ซาลาเปาถั่วดำฮาลาล-ลูกเล็ก(1*12)400ก.,Pack,,,100,,,,N,0,,,
'16010039,BUN CREAM HALAL SMALL(1*12)400G.,ซาลาเปาครีมฮาลาล-ลูกเล็ก(1*12)400ก.,Pack,,,100,,,,N,0,,,
'17020001,FROZEN  BROILER CHICKEN (0.8-1 กก.)/WHOLE,ไก่กระทง แช่แข็ง  (0.8-1 กก.)/ตัว  ,PCS,,,88,,,,N,0,,,
'17020002,FROZEN  BROILER CHICKEN (600-800G.)/WHOLE,ไก่กระทง  แช่แข็ง  (600-800 ก.)/ตัว,PCS,,,88,,,,N,0,,,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,85,,,,N,0,,,
'17020004,อกไก่ลอกหนังสไลด์ แช่แข็ง (เบทาโกร) ,อกไก่ลอกหนังสไลด์ แช่แข็ง (เบทาโกร) ,KG,,,80,,,,N,0,,,
'17020008,อกไก่ลอกหนังแช่แข็งเอโร่ 1 กก.(894921),อกไก่ลอกหนังแช่แข็ง เอโร่ 1 กก.(894921),KG,,,82,,,,N,0,,,
'17030001,SKINED DUCK MEAT BB2 1 KG.,อกเป็ดเนื้อติดหนัง BB2 1 กก.,KG,,,278,,,,N,0,,,
'17060001,SPINACH BALL  1KG. (110002),ผักโขมกลมแช่แข็ง 1 กก.(110002),KG,,,78,,,,N,0,,,
'17060002,FROZEN GREEN PEAS 1KG.(134972),ถั่วลันเตาแช่แข็ง 1 กก.(134972),KG,,,90,,,,N,0,,,
'17060003,FROZEN MIXED VEGETABLE DX 103(125186),ผักรวมแช่แข็ง DX103(125186),KG,,,72,,,,N,0,,,
'17060004,FROZEN MIX VEGETABLE ARO 1KG.(1x10)/(124406),ผักรวมแช่แข็ง เอโร่ 1 กก.(1x10)/(124406),PACK,,,70,,,,N,0,,,
'17060005,FROZEN SPINACH ARO 1KG.(110002),ใบผักโขมแช่แข็งแบบกลม เอโร่ 1 กก.(110002),KG,,,80,,,,N,0,,,
'17060007,ข้าวโพดแช่แข็ง เอโร่ 10 กก.(851336),ข้าวโพดแช่แข็ง เอโร่ 10 กก.(851336),CASE,,,800,,,,N,0,,,
'17070004,FROZEN SWEET CORN KERNEL ARO 1KG.(851335),ข้าวโพดแช่แข็ง เอโร่ 1 กก.(851335),KG,,,80,,,,N,0,,,
'17080002,FROZEN SQUID SLICE(PINEAPPLE),หมึกกล้วยหั่นบั้งสับปะรด  แช่แข็ง ,KG,,,70,,,,N,0,,,
'17080003,FROZEN SQUID SLICED(RINGS),หมึกกล้วยหั่นวงแหวน  แช่แข็ง ,KG,,,70,,,,N,0,,,
'17080004,เนื้อปลากะพงสไลซ์แช่แข็ง 10-15 ก. 1 กก.(821267),เนื้อปลากะพงสไลซ์แช่แข็ง10-15 ก. 1 กก.(821267),KG,,,185,,,,N,0,,,
'17080006,หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),KG,,,70,,,,N,0,,,
'17080008,FROZEN DORRY FISH FILLER,เนื้อปลาดอลลี่แช่แข็ง,KG,,,70,,,,N,0,,,
