รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ,หมายเหตุ
'15010044,PEELED PEANUTS RAITIP 500G.(1x6)/(185825),ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),BAG,,,37.12666667,,,,A,7,,,
'15010147,PEELED SPLIT MUNG BEAN RAITIP 500G. (1x6)/(22324),ถั่วเขียวเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(223244),BAG,,,37.625,,,,A,7,,,
'15040020,หมี่เตี๊ยวเส้นขาว เอโร่ 350ก.(1x3)/(142407),หมี่เตี๊ยวเส้นขาว เอโร่ 350ก.(1x3)/(142407),PACK,,,38.92666667,,,,A,7,,,
'15010008,BREAD CRUMBS LOBO 350G.(1x3)/(163223),เกล็ดขนมปังป่นปรุงรสโลโบ 350ก.(1x3)/(163223),BAG,,,39.25333333,,,,A,7,,,
'15120008,JIGCHO SAUCE 600ML (1x3)/(840133),ซอสจิ๊กโฉ่ เด็กสมบูรณ์ 600 มล.(1x3)/(840133),BTL,,,39.25333333,,,,A,7,,,
'15010155,RUMBUTAN WHOLE IN SYSRUB UFC 565G.(1x6)/(116315),RUMBUTAN WHOLE IN SYSRUB UFC 565G.(1x6)/(116315),CAN,,,42.19666667,,,,A,7,,,
'15120051,SAUCE SOY LIGHT NGUAN CHIANG 700CC. (1x3)/(276458),ซีอิ๊วขาว ตราง่วนเชียง 700มล.(1x3)(276458),BTL,,,42.85,,,,A,7,,,
'15010043,PEANUT GROUND RAITIP 500G.(829924),ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,42.875,,,,A,7,,,
'15010034,LONGAN IN SYRUP SAVEPAK 565G.(1x3)(149159),ลำไยในน้ำเชื่อมตราเซพแพ็ค 565ก.(1x3)/(149159),CAN,,,45.79333333,,,,A,7,,,
'15120055,SOYBEAN SAUCE #1 HEALTHY BOY 700ML.(1x3)/(146465),ซีอิ๊วขาว#สูตร1 เด็กสมบูรณ์ 700มล.(1x3)/(146465),BTL,,,45.79333333,,,,A,7,,,
'15050024,FLOUR WHEAT UFM RED LOTUS 1 KG. (1x10) (184651),แป้งเค้ก ตราบัวแดง 1 กก.(1x10)/(184651),KG,,,47.103,,,,A,7,,,
'14000021,CREAMER SWEETENED BEVERAGE 388 G.(1x3)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x3)/(24700),CAN,,,47.43,,,,A,7,,,
'15120040,CHILLI SAUCE SRIRACHA 570 G. (1x3) (93548),ซอสพริกศรีราชาพาณิชย์ 570ก.(1x3)/(93548),BTL,,,49.39333333,,,,A,7,,,
'14000001,COOKING AND BAKERIES CARNATION 450ก.(1x3)/(24388),นมข้นจืดสำหรับทำอาหารคาร์เนชั่น 450ก.(1x3)/(24388),CAN,,,49.72,,,,A,7,,,
'15120049,SAUCE GREEN PHUKHAO TONG 1L.(1x3)/(43615),ซอสปรุงรสฝาเขียว ภูเขาทอง 1 ลิตร(1x3)/43615,BTL,,,50.04666667,,,,A,7,,,
'15120028,SWEET SOYA SAUCE  970CC.(1x3)/(840135),ซีอิ๊วหวาน เด็กสมบูรณ์ 970CC.(1x3)/(840135),BTL,,,52.01,,,,A,7,,,
'22140006,สุราข้าวหอมนิยมไทย 40 ดีกรี 330มล.(1x3)/(857958),สุราข้าวหอมนิยมไทย 40 ดีกรี 330มล.(1x3)/(857958),BTL,,,52.99,,,,A,7,,,
'13000033,JUICE PINEAPPLE UFC 1L. (1x3)/(111543),น้ำผลไม้-สับประรดยูเอฟซี 1ล.(1x3)/(111543),BTL,,,58.22666667,,,,A,7,,,
'15120016,SAUCE SOYBEAN HEALTHY BOY 1L.(1x3)/(147344),ซีอิ๊วขาวเด็กสมบูรณ์ 1 ลิตร(1x3)/(147344),BTL,,,60.51666667,,,,A,7,,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,61.825,,,,A,7,,,
'15010130,ผลไม้กระป๋อง-ลิ้นจี่ในน้ำเชื่อมเซพแพ็ค 565ก.(1x3)/(149158),ผลไม้กระป๋อง-ลิ้นจี่ในน้ำเชื่อมเซพแพ็ค 565ก.(1x3)/(149158),CAN,,,64.76666667,,,,A,7,,,
'15120039,BLACK SOYA SAUCE 700CC.(1x3)/(394251),ซีอิ๊วหวานง่วนเชียง 700ซีซี.(1x3)/(394251),BTL,,,64.76666667,,,,A,7,,,
'13000002,JUICE APPLE TIPCO 1L.(1x3)/(438113),น้ำผลไม้-แอปเปิ้ลทิปโก้ 1 ลิตร(1x3)/(438113),BOX,,,65.09333333,,,,A,7,,,
'13000014,JUICE  PINEAPPLE TIPCO 970ML.(1x3)/(438100),น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),BOX,,,65.09333333,,,,A,7,,,
'26010002,JUICE CRANBERRY TIPCO 1 L.(1x3)/(167690),น้ำผลไม้-แครนเบอร์รี่ทิปโก้ 1ลิตร(1x3)/(167690),BOX,,,65.09333333,,,,A,7,,,
'13000001,JUICE APPLE MALEE 1L.(1x3)/(757822),น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),BOX,,,67.05666667,,,,A,7,,,
'15010127,ผลไม้กระป๋อง-ลำไยในน้ำเชื่อมเอโร่  565ก.(1x3)/(149155),ผลไม้กระป๋อง-ลำไยในน้ำเชื่อมเอโร่  565ก.(1x3)/(149155),CAN,,,67.05666667,,,,A,7,,,
'26010022,JUICE GRAPE MALEE 1L.(1x3)/(757835),น้ำผลไม้องุ่นมาลี 1 ลิตร(1x3)/(757835),BOX,,,67.05666667,,,,A,7,,,
'15120020,TABASCO SAUCE 60ML.(1x3)/(10244),ซอสพริกทาบาสโก้ 60มล.(1x3)/(10244),BTL,,,68.03666667,,,,A,7,,,
'15010016,CHAMPIGNON MUSHROOM UFC 425G. (1x3)/(142057),เห็ดแชมปิญองน้ำตาลยูเอฟซี 425ก.(1x3)/(142057),CAN,,,69.67333333,,,,A,7,,,
'15120041,COCONUT CREAM CHAOKOH 1L.(1x2)/(164898),น้ำกะทิชาวเกาะ 1ล.(1x2)/(164898),BOX,,,72.125,,,,A,7,,,
'15080010,POWDER PEARL AA MERMAID 50G.(1x2)/(859017),ผงวุ้นซองสีเขียว ตรานางเงือก 50ก.(1x2)/(859017),PCS,,,89.295,,,,A,7,,,
'15010131,ผลไม้กระป๋อง-ลิ้นจี่ในน้ำเชื่อมยูเอฟซี 565ก.(1x3)/(142063),ผลไม้กระป๋อง-ลิ้นจี่ในน้ำเชื่อมยูเอฟซี 565ก.(1x3)/(142063),CAN,,,96.82333333,,,,A,7,,,
'15120017,SAUCE SUKIYAKI PANTAI 830G.(1x3)/(115834),น้ำจิ้มสุกี้กวางตุ้งพันท้าย 830ก.(1x3)/(115834),BTL,,,97.15,,,,A,7,,,
'15010128,ผลไม้กระป๋อง-ลำไยในน้ำเชื่อมมาลี  565ก. (1x3)/(317980),ผลไม้กระป๋อง-ลำไยในน้ำเชื่อมมาลี  565ก. (1x3)/(317980),CAN,,,100.0933333,,,,A,7,,,
'26010007,JUICE CAN-LYCEE MALEE 20OZ.(1x3)/(303329),ผลไม้กระป๋อง-ลิ้นจี่ในน้ำเชื่อมมาลี 20OZ.(1x3)(303329),CAN,,,100.0933333,,,,A,7,,,
'15120050,SAUCE LEA&PERRINS 150 ML. (1x2)(226185),ซอสเปรี้ยวลีแอนด์เพอร์รินส์ 150มล.(1x2)/(226185),BTL,,,102.55,,,,A,7,,,
'15120048,SAUCE BROWN HP 255G.(1x2)/(226184),ซอสเปรี้ยวเอชพี 255ก.(1x2)/(226184),BTL,,,171.24,,,,A,7,,,
'15090016,HONEY ARO SIZE 1L.(1x2)(673348),น้ำผึ้งแท้ 100% เอโร่ 1 กก.(1x2)(673348),BTL,,,210,,,,N,0,,,
'14040004,PLAIN YOGURT DUTCHIE 135G.(1x4)/(175058),โยเกิร์ตรสธรรมชาติดัชชี่ 135ก.(1x4)/(175058),PACK,,,227.68,,,,A,7,,,
'15010010,CAHEWNUTS WHOLE ARO 2KG.(102135),เม็ดมะม่วงหิมพานต์แบบเต็มเม็ดเอโร่ 2 กก.(102135),KG,,,367.5,,,,A,7,,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,620,,,,N,0,,,
'14020007,MOZZARELLA CHEESE SHREDDED ANCHOR 2KG. (179715),มอสซาเรลล่าชีสชนิดขูดแองเคอร์ 2 กก.(179715),BAG,,,684.96,,,,A,7,,,
