SKU#,Description,Local Description,,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD120344,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),,KG,,,#N/A,,,,N,0,,
'FD120348,COCONUT CREAM FOR STICKY RICE,หัวกะทิ-สำหรับมูนข้าวเหนียว,,KG,,,#N/A,,,,N,0,,
'FD120349,JUICE CONCENTRATE PINEAPPLE 2L.,น้ำผลไม้เข้มข้น-สับปะรด 2 ลิตร,,BTL,,,#N/A,,,,N,0,,
'FD120351,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),,KG,,,42,,,,N,0,,
'FD120356,GRAPES RED,องุ่นแดง,,KG,,,89,,,,N,0,,
'FD120359,JACK FRUIT PEELED WITH OUT SEED,ขนุนแกะ(เม็ด),,KG,,,#N/A,,,,N,0,,
'FD120361,JUJUBE,พุทรา,,KG,,,#N/A,,,,N,0,,
'FD120366,KEOW SAVOY MANGO 1KG. (790998),มะม่วงเขียวเสวย 1 กก.(790998),,KG,,,#N/A,,,,N,0,,
'FD120367,LONG KONG,ลองกอง,,KG,,,#N/A,,,,N,0,,
'FD120368,LONGAN,ลำไย,,KG,,,0,,,,N,0,,
'FD120369,MANDARIN ORANGE,ส้มแมนดาริน,,KG,,,#N/A,,,,N,0,,
'FD120375,OLD COCONUT,มะพร้าวแก่(ปลอกเปลือก),,PCS,,,#N/A,,,,N,0,,
'FD120377,ORANGE LOCAL,ส้มสายน้ำผึ้ง,,KG,,,46,,,,N,0,,
'FD120378,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,,KG,,,35,,,,N,0,,
'FD120379,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,,KG,,,43,,,,N,0,,
'FD120381,PAPAYA RIPE,มะละกอแขกดำ(สุก),,KG,,,#N/A,,,,N,0,,
'FD120384,PINEAPPLE PU-LE (816843),สัปปะรดภูแล (816843),,KG,,,0,,,,N,0,,
'FD120386,RAMBUTAN,เงาะ,,KG,,,#N/A,,,,N,0,,
'FD120387,RASPBERRY FG 120G.,RASPBERRY FG 120G.,,PACK,,,#N/A,,,,N,0,,
'FD120390,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),,KG,,,65,,,,N,0,,
'FD120392,STRABERRY FRESH 250G.(169955),สตรอเบอร์รีสดนำเข้า 250ก.(169955),,PACK,,,#N/A,,,,N,0,,
'FD120393,STRAWBERRY IMPORT KR 250G.(24765),สตรอเบอร์รี่นำเข้าเกาหลี 250ก.(24765),,PACK,,,#N/A,,,,N,0,,
'FD120394,STRAWBERRY IMPORT KR 330G.(24765),สตรอเบอร์รี่นำเข้าเกาหลี 330ก.(24765),,PACK,,,#N/A,,,,N,0,,
'FD120398,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),,PCS,,,35,,,,N,0,,
'FD120403,แก้วมังกรแดง,แก้วมังกรแดง,,KG,,,62,,,,N,0,,
'FD120404,แตงโม ตอปิโด,แตงโม-ตอปิโด,,KG,,,#N/A,,,,N,0,,
'FD120405,แห้วสดปอกเปลือก 1 กก. (265577),แห้วสดปอกเปลือก 1 กก.(265577),,KG,,,#N/A,,,,N,0,,
'FD120406,แห้วสดหั่นเต๋า 1 กก.(138297),แห้วสดหั่นเต๋า 1 กก.(138297),,KG,,,#N/A,,,,N,0,,
'FD120409,กล้วยหอม เกรด A (120171),กล้วยหอมเกรด A (120171),,BUNCH,,,#N/A,,,,N,0,,
'FD120413,มะพร้าวทึนทึก,มะพร้าวทึนทึก,,PCS,,,#N/A,,,,N,0,,
'FD120414,มะม่วงแก้วขมิ้น (ดิบ),มะม่วงแก้วขมิ้น(ดิบ),,KG,,,#N/A,,,,N,0,,
'FD120416,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,,KG,,,55,,,,N,0,,
'FD120419,องุ่นเขียวไร้เมล็ดอินเดีย 1 กก.(158378),องุ่นเขียวไร้เมล็ดอินเดีย 1 กก. (158378),,KG,,,#N/A,,,,N,0,,
'FD120420,องุ่นแดงไร้เมล็ดอินเดีย 1 กก.(39663),องุ่นแดงไร้เมล็ดอินเดีย 1 กก.(39663),,KG,,,#N/A,,,,N,0,,
'FD120421,องุ่นดำไร้เมล็ดอินเดีย 1 กก. (184015),องุ่นดำไร้เมล็ดอินเดีย 1 กก.(184015),,KG,,,#N/A,,,,N,0,,
'FD171271,COCONU CHUNKED NAM HOM ALL COCO 1KG.(813532),เนื้อมะพร้าวน้ำหอมแบบแผ่นแช่แข็ง 1 กก. (813532),,KG,,,#N/A,,,,N,0,,
'FD171272,FROZE MIX BERRY ARO 1KG.(826024),ผลไม้รวมเบอร์รี่แช่แข็ง เอโร่ 1 กก.(826024),,KG,,,#N/A,,,,N,0,,
'FD171273,FROZEN PASSION FRUIT WITH SEED ARO 1KG.(229338),น้ำเสาวรสมีเมล็ดแช่แข็ง เอโร่ 1กก.(229338),,KG,,,#N/A,,,,N,0,,
'FD171274,FROZEN SWEET CORN KERNEL ARO 1KG.(851335),ข้าวโพดแช่แข็ง เอโร่ 1 กก.(851335),,KG,,,#N/A,,,,N,0,,
'FD171275,FROZEN WILD STRAWBERRY ARO 1KG.(125456),สตรอเบอรี่แช่แข็ง เอโร่ 1 กก.(125456),,KG,,,#N/A,,,,N,0,,
'FD171276,MANDARIN ORANGE FROZEN SEGMENT ARO 1KG.(160355),เนื้อส้มแมนดารินแช่แข็ง เอโร่ 1 กก.(160355),,KG,,,#N/A,,,,N,0,,
'FD171277,RASPBERRY FROZEN  ARO 1KG.(127970),ราสเบอร์รี่แช่แข็ง เอโร่ 1 กก.(127970),,KG,,,#N/A,,,,N,0,,
'FD171285,มะม่วงน้ำดอกไม้หั่นเต๋าแช่แข็ง เอโร่1 กก.(821069),มะม่วงน้ำดอกไม้หั่นเต๋าแช่แข็ง เอโร่ 1กก.(821069),,BAG,,,#N/A,,,,N,0,,
'FD171304,BLACKBERRIES TH FG 160G.,BLACKBERRIES TH FG 160G.,,PACK,,,#N/A,,,,N,0,,
'FD171305,COCONUT FLESH NAM HOM 1KG.(829152),เนื้อมะพร้าวน้ำหอมแช่เยือกแข็งแบบเส้น1 กก.(829152),,KG,,,#N/A,,,,N,0,,
'FD171310,FROZEN STRAWBERRY ARO 1KG.(1x10)/(137377),สตรอว์เบอร์รีแช่แข็ง เอโร่ 1 กก.(1x10)/(137377),,CASE,,,#N/A,,,,N,0,,
'FD171312,PASSION FRUIT JUICE WITH SEEDS NCW 1KG.(863489),น้ำเสาวรสมีเมล็ดแช่แข็ง NCW 1 กก.(863489),,BAG,,,#N/A,,,,N,0,,
