รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย
'16010015,ขนมจีบไก่ (1*20),ขนมจีบไก่(1*20PACK),PACK,,,120,,,,N,0,
'16010016,BLACK BEAN BUN (1x20 ),ซาลาเปาไส้ถั่วดำ(1x20 ),PACK,,,120,,,,N,0,
'16010024,RED PORK BUN(1x20),ซาลาเปาไส้หมูแดง(1x20),PACK,,,120,,,,N,0,
'10050054,ปลาเส้นทอดมหาชัย 700ก.(827687),ปลาเส้นทอดมหาชัย 70ก.(827687),BAG,,,125,,,,N,0,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,,125,,,,N,0,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,125,,,,N,0,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,130,,,,N,0,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,130,,,,N,0,
'10020024,เล็บมือนาง(ตีนไก่),เล็บมือนาง(ตีนไก่),KG,,,130,,,,N,0,
'10050045,PORK MEAT BALL,ลูกชิ้นหมูธรรมดา,KG,,,130,,,,N,0,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,135,,,,N,0,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,135,,,,N,0,
'10050033,"CHICKEN SAUSAGE 3.5"" BATAGRO",ไส้กรอกไก่ 3.5นิ้ว(เบทาโกร),KG,,,135,,,,N,0,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,135,,,,N,0,
'10010022,ขั้วตับหมู,ขั้วตับหมู,KG,,,145,,,,N,0,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,155,,,,N,0,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,155,,,,N,0,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,158,,,,N,0,
'10010020,ไส้อ่อนหมู,ไส้อ่อนหมู,KG,,,160,,,,N,0,
'16010005,HA KAO SHRIMP(1x40),ฮะเก๋ากุ้ง(1x40),PACK,,,170,,,,N,0,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,175,,,,N,0,
'16010010,VEGERTABLE SAMOZA (1x24 PCS),ซาโมซ่าผัก(1x24 ชิ้น),PACK,,,175,,,,N,0,
'17020007,ไก่ปิ้งนมสดแช่แข็ง 45ก.(1x20)/(910678),ไก่ปิ้งนมสดแช่แข็ง 45ก.(1x20)/(910678),PACK,,,175,,,,N,0,
