รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ
'15090008,SALT PHUNG TIP  0.5KG.(1x6)/(106960),เกลือปรุงทิพย์  0.5 กก.(1x6)/(106960),BAG,,,9.35,,,A,7,,
'15080051,JASMINE WINNER 2OZ.,สารแต่งกลิ่น-กลิ่นมะลิตราวินเนอร์ 2OZ.,BTL,,,23.36,,,A,7,,
'14000001,COOKING AND BAKERIES CARNATION 450ก.(1x3)/(24388),นมข้นจืดสำหรับทำอาหารคาร์เนชั่น 450ก.(1x3)/(24388),CAN,,,27.10,,,A,7,,
'15050004,FLOUR TAPIOCA JADE LEAF 1 KG.(170111),แป้งมันสำปะหลัง ใบหยก 1 กก.(170111),KG,,,28.04,,,A,7,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,28.04,,,A,7,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,30.84,,,A,7,,
'14030013,FILLING VANILLA FLAVOR YOU YEE 900 G. (507641),ฟีลลิ่งกลิ่นวานิลายูยี  900ก.(507641),BAG,,,32.71,,,A,7,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,35.51,,,A,7,,
'15080010,POWDER PEARL AA MERMAID 50G.(1x2)/(859017),ผงวุ้นซองสีเขียว ตรานางเงือก 50ก.(1x2)/(859017),PCS,,,37.38,,,A,7,,
'15090010,น้ำเชื่อมมิตรผล 800ก.,น้ำเชื่อมมิตรผล 800ก.,BAG,,,37.38,,,A,7,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),BAG,,,42.06,,,A,7,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),BAG,,,42.06,,,A,7,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),BAG,,,42.06,,,A,7,,
'15020006,DRY PINEAPPLE,สัปปะรดอบแห้ง,KG,,,420.56,,,A,7,,
'15020007,DRY KIWI,กีวี่อบแห้ง,KG,,,420.56,,,A,7,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,42.06,,,A,7,,
'15090018,ICING SUGAR LIN 900 G. (202995),น้ำตาลไอซ์ซิ่งลิน 900ก.(202995),BAG,,,42.06,,,A,7,,
'15050024,FLOUR WHEAT UFM RED LOTUS 1 KG. (1x10) (184651),แป้งเค้ก ตราบัวแดง 1 กก.(1x10)/(184651),KG,,,42.99,,,A,7,,
'15010136,MANDARIN ORANGES WHOLE SEGMENT DOLE 425G.,ส้มแมนดารีนโดล 425ก.,CAN,,,44.86,,,A,7,,
'15020005,DRY MANGO,มะม่วงอบแห้ง,KG,,,514.02,,,A,7,,
'15080068,แอมโมเนียมไบคาร์บอเนต 1 กก.,แอมโมเนียมไบคาร์บอเนต 1 กก.,KG,,,51.40,,,A,7,,
'15090001,BROWN SUGAR GROUND (เฉาก๊วย) 1KG.,น้ำตาลทรายแดงละเอียดมิตรผล(เฉาก๊วย) 1 กก.,BAG,,,56.07,,,A,7,,
'26010013,SYRUP CONCENTRATED-HULBLUEBOY SA-LA 710ML.,ไซรับเข้มข้น-กลิ่นสละสีแดงเฮลซ์บลูบอย 710 มล.,BTL,,,58.88,,,A,7,,
'26010035,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.,น้ำหวานเข้มข้น-กลิ่นครีมโซดาเฮลซ์บลูบอย 710มล.,BTL,,,58.88,,,A,7,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,64.49,,,A,7,,
'15080075,สีเจลผสมอาหาร สีม่วง วินเนอร์ 30 มล.,สีเจลผสมอาหาร-สีม่วงวินเนอร์ 30 มล.,BTL,,,70.09,,,A,7,,
'15090013,DONUT SUGAR (DYNASTY) 1KG.,น้ำตาลโดนัท(ไดนาสตี้) 1 กก.,KG,,,70.09,,,A,7,,
'26010019,JUICE CONCENTRATED-MANGO SQUASH DING FONG 760ML.(823948),น้ำผลไม้เข้มข้น-มะม่วงสควอชติ่งฟง 760มล.(823948),BTL,,,74.77,,,A,7,,
