SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'34030193,กล่องพลาสติกE-44 4ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-44 4ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,196.26,,,,A,7,,
'34030194,กล่องพลาสติกE-82 6ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-82 6ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,271.03,,,,A,7,,
'34030195,กล่องพลาสติกE-81 8ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-81 8ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,355.14,,,,A,7,,
'34030196,กล่องพลาสติกE-80 10ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-80 10ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,252.34,,,,A,7,,
'34030197,ถุงกระดาษหูเกลียวคราฟท์ 19*13*21cm.(1*25)/แพ็ค,ถุงกระดาษหูเกลียวคราฟท์ 19*13*21cm.(1*25)/แพ็ค,Pack,,,163.55,,,,A,7,,
'34030198,ถุงกระดาษหูเกลียวคราฟท์ 32*11*24cm.(1*25)/แพ็ค,ถุงกระดาษหูเกลียวคราฟท์ 32*11*24cm.(1*25)/แพ็ค,Pack,,,261.68,,,,A,7,,
34030034,,,Pack,,,,,,,A,7,,
34030123,,,Pack,,,,,,,A,7,,
34030124,,,Pack,,,,,,,A,7,,
