SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'15130026,YELLOW TURMERIC POWDER EVEREST 500G.(102550),ผงขมิ้นเทศอินเดีย ยี่ห้อเอเวอร์เรสต์ 500G.(102550),BAG,,,170,,,,A,7,,,,,,,
'15130030,DEGGI MIRCH  MDH 100G.(102558),พริกบดอินเดีย เอ็มดีเอช 100ก.(102558),BOX,,,75,,,,A,7,,,,,,,
'15130037,CINAMOM STICK  500G.(166073),อบเชย 500ก.(166073),BAG,,,300,,,,A,7,,,,,,,
'15130040,CUMIN POWDER 200G. (174122),ยี่หร่าป่น 200 ก.(174122),BAG,,,85,,,,A,7,,,,,,,
'15130054,MDH DEGGI MIRCH 100G.(102558),DEGGI MIRCH MDH  100G.(102558),BOX,,,75,,,,A,7,,,,,,,
'15130055,MIXED PICKLE MOTHER 500G.(216031),พิคเกิลมิกซ์ มาเธอร์สเรซิพี 500ก.(216031),BTL,,,175,,,,A,7,,,,,,,
'15130065,TEJ PATTA  100 G./PACK,TEJ PATTA  100 G./PACK,PACK,,,100,,,,A,7,,,,,,,
'15140005,RICE BASMATI ZEHRA 5KG.,ข้าวบาสมาติก เซะหร่า 5 กก.,BAG,,,500,,,,A,7,,,,,,,
'15140007,RICE SUPER KERNEL BASMATI ANMOL 5KG.(193633),ข้าวบาสมาติ อันมล 5 กก.(193633),BAG,,,500,,,,A,7,,,,,,,
'15140008,SELLA BASMATI PA RI 5KG. (826899),ข้าวบาสมาติ นางฟ้า 5 กก.(826899),BAG,,,550,,,,A,7,,,,,,,
15150004,CHEES PANEER  INDIN 1 KG.,เต้าหู้อินเดีย PANEER 1KG.,KG,,,350,,,,A,7,,,,,,,
15040019,SEVIYAN ROASTED 110G.NILON,วุ้นเส้น(อินเดีย)110ก.ตรา NILON,BAG,,,40,,,,A,7,,,,,,,
15130086,CURRY LEAVES 100G./PACK,เคอรี่ลีฟ(อินเดีย) 100ก./แพ็ค,Pack,,,100,,,,A,7,,,,,,,
15010203,SUJI ASIRIWAD 500G./BAG,แป้งซูจี-แป้งหมี่หยาบอินเดีย ยี่ห้อ ASIRIWAD 500ก./ถุง,BAG,,,50,,,,A,7,,,,,,,
15010193,INDIAN DESSERT-VADA,ขนมหวานอินเดีย-โดนัทวาดา,Pcs,,,12,,,,A,7,,,,,,,
15130008,CORIANDER POWDER 500G.,เมล็ดผักชีป่น 500ก.,BAG,,,160,,,,A,7,,,,,,,
15130021,RED CHILLI POWDER EVEREST 500 G. (102556),พริกป่นแดงอินเดีย ยี่ห้อเอเวอร์เรสต์ 500ก.(102556),BAG,,,160,,,,A,7,,,,,,,
15130077,CUMIN(JEERA POWDER) 500G.NILON,ยี่ราป่น 500ก.ยี่ห้อ NILON,BAG,,,170,,,,A,7,,,,,,,
15010002,AMUL GHEE 1 L. (852349),เนยใสอมูลกี 1 ลิตร (852349),BTL,,,460,,,,A,7,,,,,,,
15130078,STAR ANISE 250G./BAG,โป๊ยกั๊ก(อินเดีย) 250ก./ถุง,BAG,,,250,,,,A,7,,,,,,,
15010049,RAJMAH RED 500G.,ถั่วแดงอินเดีย 500ก.,BAG,,,50,,,,A,7,,,,,,,
15130085,CURRY LEAVES 200G./PACK,เคอรี่ลีฟ(อินเดีย) 200ก./แพ็ค,Pack,,,200,,,,A,7,,,,,,,
15120047,ROSE WATER 200ML./BOTTLE,ROSE WATER 200ML./BOTTLE,BTL,,,130,,,,A,7,,,,,,,
15010194,INDIAN DESSERT-ALOO TIKKI,ขนมหวานอินเดีย-อาลู ทิคคี,Pcs,,,10,,,,A,7,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
